data
"{""brand_id"": ""6487516221610992000"",""headquarters_location"": ""Tokyo, Japan"", ""brand_tier"": ""Premium""}"
"{""brand_id"": ""143404187448178960"",""headquarters_location"": ""Paris, France"", ""brand_tier"": ""Budget""}"
"{""brand_id"": ""4401377380334391000"",""headquarters_location"": ""Sydney, Australia"", ""brand_tier"": ""Luxury""}"
"{""brand_id"": ""5574935450287742000"",""headquarters_location"": ""Toronto, Canada"", ""brand_tier"": ""Budget""}"
"{""brand_id"": ""6838394445694648000"",""headquarters_location"": ""New York, USA"", ""brand_tier"": ""Budget""}"
"{""brand_id"": ""2155840221596483000"",""headquarters_location"": ""Toronto, Canada"", ""brand_tier"": ""Premium""}"
"{""brand_id"": ""155168297076280030"",""headquarters_location"": ""Berlin, Germany"", ""brand_tier"": ""Budget""}"
"{""brand_id"": ""3785055026898292000"",""headquarters_location"": ""London, UK"", ""brand_tier"": ""Mid-range""}"
"{""brand_id"": ""5041989348621998000"",""headquarters_location"": ""London, UK"", ""brand_tier"": ""Budget""}"
"{""brand_id"": ""3988021666982841000"",""headquarters_location"": ""Toronto, Canada"", ""brand_tier"": ""Premium""}"
"{""brand_id"": ""8284731649197925000"",""headquarters_location"": ""Sydney, Australia"", ""brand_tier"": ""Premium""}"
"{""brand_id"": ""6780686381899145000"",""headquarters_location"": ""Sydney, Australia"", ""brand_tier"": ""Luxury""}"
"{""brand_id"": ""1135775661758849900"",""headquarters_location"": ""Toronto, Canada"", ""brand_tier"": ""Mid-range""}"
"{""brand_id"": ""1676516868060289000"",""headquarters_location"": ""Sydney, Australia"", ""brand_tier"": ""Budget""}"
"{""brand_id"": ""7143621422152015000"",""headquarters_location"": ""Berlin, Germany"", ""brand_tier"": ""Budget""}"
"{""brand_id"": ""8812997095261052000"",""headquarters_location"": ""Sydney, Australia"", ""brand_tier"": ""Luxury""}"
"{""brand_id"": ""5556901554609657000"",""headquarters_location"": ""Tokyo, Japan"", ""brand_tier"": ""Budget""}"
"{""brand_id"": ""3209392573456517000"",""headquarters_location"": ""Toronto, Canada"", ""brand_tier"": ""Mid-range""}"
